"","userID","gameCode","sessionID","repetitionID","hand","includeInt","accuracy","amountOfData","centerCircle","circleCenterX","circleCenterY","date","device","distanceTot","dpi","margin","radiusCenter","screenHeight","screenWidth","startTime","time","raggioEsterno","raggioInterno","dominantHand"
"78","MB_AC_06_e43bdfa2","circleAccuracy","c4d85a54219cc598563f2f0469f29fff",3,"destra",0,0.8755854,73,1831.367,540,888,"23/03/2015 13-26-18","LGE LG-D802",1847.086,423.0495,83.27746,291.4711,1776,1080,112.822,1.362343,333.10983,249.83237,"destra"
"79","MB_AC_07_5a34dfd8","circleAccuracy","313dbcdaeb9f393b59ef739e2d852010",1,"destra",0,0.9984699,257,1831.367,540,888,"25/03/2015 11-07-43","LGE LG-D802",1841.355,423.0495,83.27746,291.4711,1776,1080,87.27873,4.389565,333.10983,249.83237,"destra"
"80","MB_AC_07_5a34dfd8","circleAccuracy","313dbcdaeb9f393b59ef739e2d852010",2,"destra",0,0.9954691,249,1831.367,540,888,"25/03/2015 11-07-51","LGE LG-D802",1836.323,423.0495,83.27746,291.4711,1776,1080,94.45094,4.264275,333.10983,249.83237,"destra"
"81","MB_AC_07_5a34dfd8","circleAccuracy","313dbcdaeb9f393b59ef739e2d852010",3,"destra",0,0,80,1831.367,540,888,"25/03/2015 11-07-58","LGE LG-D802",1248.521,423.0495,83.27746,291.4711,1776,1080,105.8815,1.646797,333.10983,249.83237,"destra"
"82","MB_AC_08_164b49df","circleAccuracy","8ae1530c2ec0c08e8837187636fa02d9",1,"destra",0,0.997321,249,1831.367,540,888,"27/03/2015 11-16-19","LGE LG-D802",1834.764,423.0495,83.27746,291.4711,1776,1080,118.4359,4.305153,333.10983,249.83237,"destra"
"83","MB_AC_08_164b49df","circleAccuracy","8ae1530c2ec0c08e8837187636fa02d9",2,"destra",0,0.9427131,224,1831.367,540,888,"27/03/2015 11-16-28","LGE LG-D802",1836.54,423.0495,83.27746,291.4711,1776,1080,125.7002,4.02092,333.10983,249.83237,"destra"
"84","MB_AC_08_164b49df","circleAccuracy","8ae1530c2ec0c08e8837187636fa02d9",3,"destra",0,0.9914985,224,1831.367,540,888,"27/03/2015 11-16-35","LGE LG-D802",1835.679,423.0495,83.27746,291.4711,1776,1080,131.9417,3.986221,333.10983,249.83237,"destra"
"85","MB_AC_09_e249e7b1","circleAccuracy","79a6393ac3a7aa663a056038735e1a57",1,"destra",0,0.8041024,177,1831.367,540,888,"27/03/2015 14-25-46","LGE LG-D802",1817.09,423.0495,83.27746,291.4711,1776,1080,107.9088,3.197632,333.10983,249.83237,"destra"
"86","MB_AC_09_e249e7b1","circleAccuracy","79a6393ac3a7aa663a056038735e1a57",2,"destra",0,0.9922922,218,1831.367,540,888,"27/03/2015 14-25-54","LGE LG-D802",1832.751,423.0495,83.27746,291.4711,1776,1080,119.638,3.769485,333.10983,249.83237,"destra"
"87","MB_AC_09_e249e7b1","circleAccuracy","79a6393ac3a7aa663a056038735e1a57",3,"destra",0,0.9962052,171,1831.367,540,888,"27/03/2015 14-26-06","LGE LG-D802",1841.178,423.0495,83.27746,291.4711,1776,1080,126.6051,2.927689,333.10983,249.83237,"destra"
